Pattern,Destination
^(.*)352.html(.*)$,https://www.phoeniximport.com/nl/3/mineralen-en-edelstenen.aspx
"^(.*)pag,,,.html(.*)$",https://www.phoeniximport.com
^(.*)20Traya(.*)$,https://www.phoeniximport.com/collections/gezonde-leefstijl
^(.*)20Oasis(.*)$,https://www.phoeniximport.com/collections/gezonde-leefstijl
^(.*)mp3(.*)$,https://www.phoeniximport.com/collections/gezonde-leefstijl
^(.*)Bedrijfsgegevens(.*)$,https://www.phoeniximport.com/nl/pages/bedrijfsgegevens
^(.*)_13302(.*)$,https://www.phoeniximport.com/collections/boeddha-beelden
^(.*)png(.*)$,https://www.phoeniximport.com
^(.*)Wierook-accessoires(.*)$,https://www.phoeniximport.com/collections/wierookhouders-en-accessoires
^(.*)_9207(.*)$,https://www.phoeniximport.com/nl/3/klankschalen-en-meer/klankschalen-chpa.aspx
^(.*)Amazing-Angel(.*)$,https://www.phoeniximport.com/nl/3/beelden/engelen-beelden-angelstar.aspx
^(.*)pdf(.*)$,https://www.phoeniximport.com
^(.*)Mandala-chakra-hanger-zilver(.*)$,https://www.phoeniximport.com/nl/3/sieraden/hangers-en-halskettingen.aspx
^(.*)Masters-Essences-Kuthumi(.*)$,https://www.phoeniximport.com/nl/3/geurproducten.aspx
^(.*)Cd-Cursus(.*)$,https://www.phoeniximport.com
^(.*)Zakje-zand(.*)$,https://www.phoeniximport.com/nl/4/10118/zakje-zand-150g.aspx
^(.*)Windgong-Feng-Shui(.*)$,https://www.phoeniximport.com/nl/3/klankschalen-en-meer/gongs-gongtassen-en-gongstandaards.aspx
^(.*)Windgong-Feng-Shui(.*)$,https://www.phoeniximport.com/nl/3/klankschalen-en-meer/gongs-gongtassen-en-gongstandaards.aspx
^(.*)13102(.*)$,https://www.phoeniximport.com/nl/3/gezonde-leefstijl/thee-or-tea.aspx
^(.*)Cd-Inner(.*)$,https://www.phoeniximport.com/collections/gezonde-leefstijl
^(.*)moederliefde(.*)$,https://www.phoeniximport.com/nl/3/beelden/engelen-beelden-angelstar.aspx
^(.*)Donuthanger(.*)$,https://www.phoeniximport.com/nl/3/sieraden/hangers-en-halskettingen.aspx
^(.*)352.html(.*)$,https://www.phoeniximport.com/nl/3/mineralen-en-edelstenen.aspx
^(.*)boeddhabeeld(.*)$,https://www.phoeniximport.com/nl/3/beelden.aspx
^(.*)engel(.*)$,https://www.phoeniximport.com/nl/3/beelden/engelen-beelden-angelstar.aspx
^(.*)biologisch(.*)$,https://www.phoeniximport.com/nl/3/biologische-producten.aspx
^(.*)lavendel(.*)$,https://www.phoeniximport.com/nl/3/geurproducten/lavendel-producten.aspx
^(.*)olieverdamper(.*)$,https://www.phoeniximport.com/nl/3/geurproducten/olieverdampers-en-geurstenen.aspx
^(.*)geursteen(.*)$,https://www.phoeniximport.com/nl/3/geurproducten/olieverdampers-en-geurstenen.aspx
^(.*)bach(.*)$,https://www.phoeniximport.com/nl/3/geurproducten/bach-essentile-olin.aspx
^(.*)netipot(.*)$,https://www.phoeniximport.com/nl/3/gezonde-leefstijl/neti-pot-en-himalayazout.aspx
^(.*)watervitalisering(.*)$,https://www.phoeniximport.com/nl/3/gezonde-leefstijl/watervitalisering-alle-producten.aspx
^(.*)warmwaterkruik(.*)$,https://www.phoeniximport.com/nl/3/gezonde-leefstijl/kundalini-warmwaterkruik.aspx
^(.*)thee(.*)$,https://www.phoeniximport.com/nl/3/gezonde-leefstijl/thee-alle-producten.aspx
^(.*)strandlaken(.*)$,https://www.phoeniximport.com/nl/3/home-living/banners-strandlakens-en-thangkas.aspx
^(.*)thangka(.*)$,https://www.phoeniximport.com/nl/3/home-living/banners-strandlakens-en-thangkas.aspx
^(.*)shui(.*)$,https://www.phoeniximport.com/nl/3/home-living/feng-shui-producten.aspx
^(.*)raamsticker(.*)$,https://www.phoeniximport.com/nl/3/home-living/raamstickers.aspx
^(.*)zoutkristallamp(.*)$,https://www.phoeniximport.com/nl/3/home-living/zoutkristallampen-en-meer.aspx
^(.*)kaars(.*)$,https://www.phoeniximport.com/nl/3/kaarsen-en-sfeerlichten.aspx
^(.*)lotussfeer(.*)$,https://www.phoeniximport.com/nl/3/kaarsen-en-sfeerlichten/lotus-sfeerlichten.aspx
^(.*)lantaarn(.*)$,https://www.phoeniximport.com/nl/3/kaarsen-en-sfeerlichten/sfeerlichten-en-lantaarns.aspx
^(.*)klankschaal(.*)$,https://www.phoeniximport.com/nl/3/klankschalen-en-meer.aspx
^(.*)alepeo(.*)$,https://www.phoeniximport.com/nl/3/lichaamsverzorging/alepeo-aleppo.aspx
^(.*)eliah(.*)$,https://www.phoeniximport.com/nl/3/lichaamsverzorging/eliah-sahil.aspx
^(.*)massage(.*)$,https://www.phoeniximport.com/nl/3/lichaamsverzorging/massageproducten.aspx
