Type,Identification,Field,Locale,Market,Status,Default content,Translated content
PRODUCT,9828150083927,handle,nl,,,10-tibetaanse-gebedsvlaggen-koord-boeddha,prayers-flags-buddhas-string-of-10
PRODUCT,9828191633751,handle,nl,,,pendelmat-godin-multicolour,pendulum-mat-goddess-multicolour
PRODUCT,9828203037015,handle,nl,,,najel-dode-zee-zoutwater-bio,najel-dead-sea-salt-water-organic
PRODUCT,9828203069783,handle,nl,,,natuurlijke-handgemaakte-zeep-mama-mia,natural-handmade-soap-mama-mia
PRODUCT,9828203168087,handle,nl,,,waterfontein-engel-l,water-fountain-angel-l
PRODUCT,9828203200855,handle,nl,,,sagrada-madre-wierookkegels-amber-sinaasappel,sagrada-madre-incense-cones-amber-orange
PRODUCT,9828203299159,handle,nl,,,sagrada-madre-premium-smudge-bombs-mogelijkheden-openen,sagrada-madre-premium-smudge-bombs-opens-possibilities
PRODUCT,9828203364695,handle,nl,,,meditatie-set-2-lotus-biokatoen-ocs,meditation-set-2-lotus-plant-anthracite-organic-cotton-ocs
PRODUCT,9828203397463,handle,nl,,,meditatie-set-5-chakra-1-rood,meditation-set-5-chakra-1-red
PRODUCT,9828203528535,handle,nl,,,ring-gouden-driehoek-elastisch,ring-golden-triangle-elastic
PRODUCT,9828203561303,handle,nl,,,schaal-roze-zandsteen-dubbel-hart,pink-sandstone-tray-double-heart
PRODUCT,9828203594071,handle,nl,,,set-fluweel-beige-goud-met-bloem-des-levens-notitieboek-etui-doos,set-velvet-beigegold-with-flower-of-life-notebook-zippered-pouch-box
PRODUCT,9828203692375,handle,nl,,,gondeldoosje-s-roze-maan-en-sterren,pillow-box-s-pink-moon-and-stars
PRODUCT,9828203725143,handle,nl,,,wierook-moonshine-yoga-aqua-zen,incense-sticks-moonshine-yoga-aqua-zen
PRODUCT,9828203757911,handle,nl,,,meditatiekussen-halve-maan-maanfasen-oudrose-biokatoen-ocs,meditation-cushion-crescent-moon-phases-old-rose-organic-cotton-ocs
PRODUCT,9828203823447,handle,nl,,,aromafume-kamer-textielspray-bergamot,aromafume-room-linen-spray-bergamot
PRODUCT,9828203888983,handle,nl,,,geurkaars-vanille-patchoeli,le-chatelard-1802-scented-candle-vanilla-patchouli
PRODUCT,9828203921751,handle,nl,,,armband-tijgeroog-zonnesteen-amethist-elastisch,bracelet-tiger-eye-sunstone-amethyst-elastic
PRODUCT,9828203954519,handle,nl,,,gegraveerde-mineraalschijf-zwarte-toermalijn-lotus,engraved-mineral-disk-black-tourmaline-lotus
PRODUCT,9828204052823,handle,nl,,,zeezout-en-salie-ayurveda-geurolie,sea-salt-sage-ayurveda-fragrance-oil
PRODUCT,9828204118359,handle,nl,,,multifunctionele-brander-grijze-zeepsteen,multi-purpose-burner-grey-soapstone
PRODUCT,9828204216663,handle,nl,,,ottoman-hamam-ceremonie-giftbox,ottoman-hammam-ceremony-gift-set
PRODUCT,9828204249431,handle,nl,,,sfeerlicht-matglas-metallic-levensboom,candle-light-holder-frostedmetallic-tree-of-life-738-cm
PRODUCT,9828204282199,handle,nl,,,witte-salie-smudge-met-yerba-santa-s-set-van-2,white-sage-smudge-with-yerba-santa-s-set-of-2
PRODUCT,9828204380503,handle,nl,,,good-karma-theelicht-kaarsjes-stearine,good-karma-stearin-tealight-candles
PRODUCT,9828204413271,handle,nl,,,ispalla-wierook-palo-santo-rozemarijn,ispalla-incense-palo-santo-rosemary
PRODUCT,9828204478807,handle,nl,,,messing-wierookbrander-pan-model,brass-incense-burner-pot
PRODUCT,9828204511575,handle,nl,,,geschenkflesje-aan-koord-met-pyriet-en-feng-shui-kikker,glass-gift-bottle-on-chord-with-pyrite-and-feng-shui-frog
PRODUCT,9828204544343,handle,nl,,,deco-mobiele-7-chakras,mobile-decor-7-chakras
PRODUCT,9828204642647,handle,nl,,,holy-lama-zeep-sacraal-chakra-in-palmblad,holy-lama-soap-sacral-chakra-in-palm-leaf
PRODUCT,9828204773719,handle,nl,,,armband-rode-tijgeroog-aa-kwaliteit-elastisch,bracelet-red-tiger-eye-aa-quality-elastic-06-cm
PRODUCT,9828204806487,handle,nl,,,cauldron-heksenketel-bloem-des-levens-met-zeef,cauldron-flower-of-life-with-sieve
PRODUCT,9828204839255,handle,nl,,,auto-of-raamhanger-boeddha-shakyamuni,car-or-window-pendant-buddha-shakyamuni
PRODUCT,9828204872023,handle,nl,,,armband-koper-vier-koorden-magnetisch,bracelet-copper-four-cords-magnetic
PRODUCT,9828204970327,handle,nl,,,bruisbal-hart-bright-crystal,bath-bomb-heart-bright-crystal
PRODUCT,9828205035863,handle,nl,,,natuurlijke-handgemaakte-zeep-dennenknoppen,natural-handmade-soap-pine-buds
PRODUCT,9828205101399,handle,nl,,,natuurlijke-massageolie-gold,natural-massage-oil-gold
PRODUCT,9828205134167,handle,nl,,,zeezout-body-scrub-aardbeien-met-slagroom,sea-salt-body-scrub-strawberries-and-cream
