Type,Identification,Field,Locale,Market,Status,Default content,Translated content
PRODUCT,9828150083927,handle,nl,,,10-tibetaanse-gebedsvlaggen-koord-boeddha,banderas-de-oracion-buda-cuerda-de-10
PRODUCT,9828191633751,handle,nl,,,pendelmat-godin-multicolour,alfombra-de-pendulo-diosa-multicolor
PRODUCT,9828203037015,handle,nl,,,najel-dode-zee-zoutwater-bio,najel-agua-de-sal-del-mar-muerto-organico
PRODUCT,9828203069783,handle,nl,,,natuurlijke-handgemaakte-zeep-mama-mia,jabon-natural-artesanal-mama-mia
PRODUCT,9828203168087,handle,nl,,,waterfontein-engel-l,fuente-de-agua-angel-l
PRODUCT,9828203200855,handle,nl,,,sagrada-madre-wierookkegels-amber-sinaasappel,sagrada-madre-conos-de-incienso-ambar-y-naranja
PRODUCT,9828203299159,handle,nl,,,sagrada-madre-premium-smudge-bombs-mogelijkheden-openen,sagrada-madre-premium-bombas-smudge-abre-posibilidades
PRODUCT,9828203364695,handle,nl,,,meditatie-set-2-lotus-biokatoen-ocs,set-meditacion-2-lotus-algodon-organico-ocs
PRODUCT,9828203397463,handle,nl,,,meditatie-set-5-chakra-1-rood,set-meditacion-5-chakra-1-rojo
PRODUCT,9828203528535,handle,nl,,,ring-gouden-driehoek-elastisch,anillo-elastico-triangulo-de-oro
PRODUCT,9828203561303,handle,nl,,,schaal-roze-zandsteen-dubbel-hart,bandeja-en-arenisca-rosa-doble-corazon
PRODUCT,9828203594071,handle,nl,,,set-fluweel-beige-goud-met-bloem-des-levens-notitieboek-etui-doos,set-terciopelo-beigeoro-con-flor-de-la-vida-cuaderno-bolsa-con-cremallera-caja
PRODUCT,9828203692375,handle,nl,,,gondeldoosje-s-roze-maan-en-sterren,sobres-de-carton-s-luna-rosa-y-estrellas
PRODUCT,9828203725143,handle,nl,,,wierook-moonshine-yoga-aqua-zen,varitas-de-incienso-moonshine-yoga-aqua-zen
PRODUCT,9828203757911,handle,nl,,,meditatiekussen-halve-maan-maanfasen-oudrose-biokatoen-ocs,cojin-de-meditacion-fases-lunares-rosa-antiguo-algodon-organico-ocs
PRODUCT,9828203823447,handle,nl,,,aromafume-kamer-textielspray-bergamot,aromafume-spray-ambiente-y-ropa-de-cama-bergamota
PRODUCT,9828203888983,handle,nl,,,geurkaars-vanille-patchoeli,le-chatelard-1802-vela-perfumada-vainilla-y-pachuli
PRODUCT,9828203921751,handle,nl,,,armband-tijgeroog-zonnesteen-amethist-elastisch,pulsera-elastica-ojo-de-tigre-piedra-solar-amatista
PRODUCT,9828203954519,handle,nl,,,gegraveerde-mineraalschijf-zwarte-toermalijn-lotus,disco-mineral-grabado-loto-de-turmalina-negra
PRODUCT,9828204052823,handle,nl,,,zeezout-en-salie-ayurveda-geurolie,aceite-ayurveda-con-fragancia-sal-marina-y-salvia
PRODUCT,9828204118359,handle,nl,,,multifunctionele-brander-grijze-zeepsteen,quemador-multifuncion-de-esteatita-gris
PRODUCT,9828204216663,handle,nl,,,ottoman-hamam-ceremonie-giftbox,ottoman-set-de-regalo-para-la-ceremonia-de-hammam-9x14x4cm-175g
PRODUCT,9828204249431,handle,nl,,,sfeerlicht-matglas-metallic-levensboom,portavelas-esmeriladometalico-arbol-de-la-vida-738-cm
PRODUCT,9828204282199,handle,nl,,,witte-salie-smudge-met-yerba-santa-s-set-van-2,smudges-de-salvia-blanca-y-yerba-santa-s-set-de-2
PRODUCT,9828204380503,handle,nl,,,good-karma-theelicht-kaarsjes-stearine,good-karma-velas-de-te-de-estearina
PRODUCT,9828204413271,handle,nl,,,ispalla-wierook-palo-santo-rozemarijn,ispalla-incienso-palo-santo-y-romero
PRODUCT,9828204478807,handle,nl,,,messing-wierookbrander-pan-model,quemador-de-incienso-de-laton-2110cm
PRODUCT,9828204511575,handle,nl,,,geschenkflesje-aan-koord-met-pyriet-en-feng-shui-kikker,botella-de-regalo-de-vidrio-con-cordon-pirita-y-rana-de-feng-shui-36-cm
PRODUCT,9828204544343,handle,nl,,,deco-mobiele-7-chakras,decoracion-de-mesa-7-chakras
PRODUCT,9828204642647,handle,nl,,,holy-lama-zeep-sacraal-chakra-in-palmblad,holy-lama-jabon-chakra-sacro-en-hoja-de-palma
PRODUCT,9828204773719,handle,nl,,,armband-rode-tijgeroog-aa-kwaliteit-elastisch,pulsera-elastica-de-ojo-de-tigre-rojo-calidad-aa-06-cm
PRODUCT,9828204806487,handle,nl,,,cauldron-heksenketel-bloem-des-levens-met-zeef,caldero-flor-de-la-vida-con-tamiz
PRODUCT,9828204839255,handle,nl,,,auto-of-raamhanger-boeddha-shakyamuni,colgante-para-coche-o-ventana-buda-shakyamuni
PRODUCT,9828204872023,handle,nl,,,armband-koper-vier-koorden-magnetisch,pulsera-magnetica-de-cobre-cuatro-cordones
PRODUCT,9828204970327,handle,nl,,,bruisbal-hart-bright-crystal,bomba-de-bano-corazon-bright-crystal
PRODUCT,9828205035863,handle,nl,,,natuurlijke-handgemaakte-zeep-dennenknoppen,jabon-natural-artesanal-brotes-de-pino
PRODUCT,9828205101399,handle,nl,,,natuurlijke-massageolie-gold,aceite-de-masaje-natural-gold
PRODUCT,9828205134167,handle,nl,,,zeezout-body-scrub-aardbeien-met-slagroom,exfoliante-corporal-de-sal-marina-fresas-y-nata
PRODUCT,9828205166935,handle,nl,,,noreena-jaspis-edelsteenhanger-met-geboord-oogje,colgante-de-jaspe-noreena-perforado
PRODUCT,9828205199703,handle,nl,,,fluwelen-tasje-levensboom,bolsa-de-terciopelo-arbol-de-la-vida
