Type,Identification,Field,Locale,Market,Status,Default content,Translated content
PRODUCT,9828150083927,handle,nl,,,10-tibetaanse-gebedsvlaggen-koord-boeddha,drapeaux-de-prieres-bouddhas-fil-de-10
PRODUCT,9828191633751,handle,nl,,,pendelmat-godin-multicolour,tapis-pendulaire-deesse-multicolore
PRODUCT,9828203037015,handle,nl,,,najel-dode-zee-zoutwater-bio,najel-eau-de-sel-de-la-mer-morte-bio
PRODUCT,9828203069783,handle,nl,,,natuurlijke-handgemaakte-zeep-mama-mia,savon-artisanal-naturel-mama-mia
PRODUCT,9828203168087,handle,nl,,,waterfontein-engel-l,fontaine-deau-ange-l
PRODUCT,9828203200855,handle,nl,,,sagrada-madre-wierookkegels-amber-sinaasappel,sagrada-madre-cones-dencens-ambre-orange
PRODUCT,9828203299159,handle,nl,,,sagrada-madre-premium-smudge-bombs-mogelijkheden-openen,sagrada-madre-smudge-bombs-ouvrir-les-possibilites
PRODUCT,9828203364695,handle,nl,,,meditatie-set-2-lotus-biokatoen-ocs,set-de-meditation-2-plante-de-lotus-anthracite-en-coton-biologique-ocs
PRODUCT,9828203397463,handle,nl,,,meditatie-set-5-chakra-1-rood,set-de-meditation-5-chakra-1-rouge
PRODUCT,9828203528535,handle,nl,,,ring-gouden-driehoek-elastisch,bague-triangle-dore-elastique
PRODUCT,9828203561303,handle,nl,,,schaal-roze-zandsteen-dubbel-hart,plat-en-gres-rose-double-cur
PRODUCT,9828203594071,handle,nl,,,set-fluweel-beige-goud-met-bloem-des-levens-notitieboek-etui-doos,set-velours-beigeor-avec-fleur-de-vie-carnet-pochette-coffret
PRODUCT,9828203692375,handle,nl,,,gondeldoosje-s-roze-maan-en-sterren,boites-a-oreillers-s-lune-et-etoiles-rose
PRODUCT,9828203725143,handle,nl,,,wierook-moonshine-yoga-aqua-zen,batons-dencens-moonshine-yoga-aqua-zen
PRODUCT,9828203757911,handle,nl,,,meditatiekussen-halve-maan-maanfasen-oudrose-biokatoen-ocs,coussin-de-meditation-phases-de-lune-croissante-vieux-rose-coton-bio-ocs
PRODUCT,9828203823447,handle,nl,,,aromafume-kamer-textielspray-bergamot,aromafume-spray-dambiance-et-de-blanchisserie-bergamotte
PRODUCT,9828203888983,handle,nl,,,geurkaars-vanille-patchoeli,le-chatelard-1802-bougie-parfumee-vanille-patchouli
PRODUCT,9828203921751,handle,nl,,,armband-tijgeroog-zonnesteen-amethist-elastisch,bracelet-il-de-tigre-pierre-du-soleil-amethyste-elastique
PRODUCT,9828203954519,handle,nl,,,gegraveerde-mineraalschijf-zwarte-toermalijn-lotus,disque-mineral-grave-tourmaline-noire-lotus
PRODUCT,9828204052823,handle,nl,,,zeezout-en-salie-ayurveda-geurolie,huile-parfumee-ayurvedique-au-sel-de-mer-et-a-la-sauge
PRODUCT,9828204118359,handle,nl,,,multifunctionele-brander-grijze-zeepsteen,bruleur-multi-usages-en-pierre-ollaire-grise
PRODUCT,9828204216663,handle,nl,,,ottoman-hamam-ceremonie-giftbox,ottoman-hammam-coffret-cadeau-de-ceremonie-9x14x4cm-175g
PRODUCT,9828204249431,handle,nl,,,sfeerlicht-matglas-metallic-levensboom,photophore-givremetallique-arbre-de-vie-738-cm
PRODUCT,9828204282199,handle,nl,,,witte-salie-smudge-met-yerba-santa-s-set-van-2,sauge-blanche-smudge-a-la-yerba-santa-s-lot-de-2
PRODUCT,9828204380503,handle,nl,,,good-karma-theelicht-kaarsjes-stearine,bougies-chauffe-plat-a-la-stearine-good-karma
PRODUCT,9828204413271,handle,nl,,,ispalla-wierook-palo-santo-rozemarijn,ispalla-encens-palo-santo-et-romarin
