Type,Identification,Field,Locale,Market,Status,Default content,Translated content
PRODUCT,9828150083927,handle,nl,,,10-tibetaanse-gebedsvlaggen-koord-boeddha,bandiere-di-preghiere-buddha-con-filo-da-10
PRODUCT,9828191633751,handle,nl,,,pendelmat-godin-multicolour,tappetino-pendolo-dea-multicolore
PRODUCT,9828203037015,handle,nl,,,najel-dode-zee-zoutwater-bio,najel-acqua-di-sale-del-mar-morto-organica
PRODUCT,9828203069783,handle,nl,,,natuurlijke-handgemaakte-zeep-mama-mia,sapone-naturale-fatto-a-mano-mama-mia
PRODUCT,9828203168087,handle,nl,,,waterfontein-engel-l,fontana-dacqua-angelo-l
PRODUCT,9828203200855,handle,nl,,,sagrada-madre-wierookkegels-amber-sinaasappel,sagrada-madre-coni-dincenso-ambra-e-arancio
PRODUCT,9828203299159,handle,nl,,,sagrada-madre-premium-smudge-bombs-mogelijkheden-openen,sagrada-madre-bombe-smudge-premium-apre-le-possibilita
PRODUCT,9828203364695,handle,nl,,,meditatie-set-2-lotus-biokatoen-ocs,set-meditazione-2-pianta-loto-in-cotone-organico-ocs
PRODUCT,9828203397463,handle,nl,,,meditatie-set-5-chakra-1-rood,set-meditazione-5-chakra-1-rosso
PRODUCT,9828203528535,handle,nl,,,ring-gouden-driehoek-elastisch,anello-a-triangolo-dorato-elastico
PRODUCT,9828203561303,handle,nl,,,schaal-roze-zandsteen-dubbel-hart,ciotola-in-arenaria-rosa-doppio-cuore
PRODUCT,9828203594071,handle,nl,,,set-fluweel-beige-goud-met-bloem-des-levens-notitieboek-etui-doos,set-velluto-beigeoro-con-fiore-della-vita-quaderno-astuccio-scatola
PRODUCT,9828203692375,handle,nl,,,gondeldoosje-s-roze-maan-en-sterren,buste-di-cartone-s-luna-e-stelle-rosa
PRODUCT,9828203725143,handle,nl,,,wierook-moonshine-yoga-aqua-zen,bastoncini-di-incenso-moonshine-yoga-aqua-zen
PRODUCT,9828203757911,handle,nl,,,meditatiekussen-halve-maan-maanfasen-oudrose-biokatoen-ocs,cuscino-meditazione-fasi-lunari-rosa-antico-cotone-organico-ocs
PRODUCT,9828203823447,handle,nl,,,aromafume-kamer-textielspray-bergamot,aromafume-spray-per-ambienti-e-biancheria-al-bergamotto
PRODUCT,9828203888983,handle,nl,,,geurkaars-vanille-patchoeli,le-chatelard-1802-candela-profumata-vaniglia-e-patchouli
PRODUCT,9828203921751,handle,nl,,,armband-tijgeroog-zonnesteen-amethist-elastisch,braccialetto-occhio-di-tigre-pietra-del-sole-ametista-elastico
PRODUCT,9828203954519,handle,nl,,,gegraveerde-mineraalschijf-zwarte-toermalijn-lotus,disco-minerale-inciso-tormalina-nera-loto
PRODUCT,9828204052823,handle,nl,,,zeezout-en-salie-ayurveda-geurolie,olio-di-fragranza-ayurvedico-al-sale-marino-e-salvia
PRODUCT,9828204118359,handle,nl,,,multifunctionele-brander-grijze-zeepsteen,bruciatore-multiuso-in-pietra-ollare-grigia
PRODUCT,9828204216663,handle,nl,,,ottoman-hamam-ceremonie-giftbox,ottoman-set-regalo-per-cerimonia-hammam
PRODUCT,9828204249431,handle,nl,,,sfeerlicht-matglas-metallic-levensboom,portacandele-smerigliatometallico-albero-della-vita-738-cm
PRODUCT,9828204282199,handle,nl,,,witte-salie-smudge-met-yerba-santa-s-set-van-2,salvia-bianca-smudge-con-yerba-santa-s-set-di-2
PRODUCT,9828204380503,handle,nl,,,good-karma-theelicht-kaarsjes-stearine,lumino-in-stearina-good-karma
PRODUCT,9828204413271,handle,nl,,,ispalla-wierook-palo-santo-rozemarijn,ispalla-incenso-palo-santo-e-rosmarino
PRODUCT,9828204478807,handle,nl,,,messing-wierookbrander-pan-model,brucia-incenso-in-ottone
PRODUCT,9828204511575,handle,nl,,,geschenkflesje-aan-koord-met-pyriet-en-feng-shui-kikker,bottiglietta-in-vetro-con-cordino-pirite-e-rana-feng-shui
PRODUCT,9828204544343,handle,nl,,,deco-mobiele-7-chakras,decorazione-da-tavolo-7-chakra
PRODUCT,9828204642647,handle,nl,,,holy-lama-zeep-sacraal-chakra-in-palmblad,holy-lama-sapone-chakra-sacrale-in-foglia-di-palma
PRODUCT,9828204773719,handle,nl,,,armband-rode-tijgeroog-aa-kwaliteit-elastisch,braccialetto-elastico-occhio-di-tigre-rosso-qualita-aa-06-cm
PRODUCT,9828204806487,handle,nl,,,cauldron-heksenketel-bloem-des-levens-met-zeef,calderone-con-setaccio-fiore-della-vita
PRODUCT,9828204839255,handle,nl,,,auto-of-raamhanger-boeddha-shakyamuni,ciondolo-per-auto-o-finestra-buddha-shakyamuni
PRODUCT,9828204872023,handle,nl,,,armband-koper-vier-koorden-magnetisch,braccialetto-magnetico-in-rame-a-quattro-cordoncini
PRODUCT,9828204970327,handle,nl,,,bruisbal-hart-bright-crystal,bomba-da-bagno-cuore-bright-crystal
PRODUCT,9828205035863,handle,nl,,,natuurlijke-handgemaakte-zeep-dennenknoppen,sapone-naturale-fatto-a-mano-gemme-di-pino
PRODUCT,9828205101399,handle,nl,,,natuurlijke-massageolie-gold,olio-da-massaggio-naturale-gold
PRODUCT,9828205134167,handle,nl,,,zeezout-body-scrub-aardbeien-met-slagroom,scrub-corpo-sale-marino-fragole-e-panna
PRODUCT,9828205166935,handle,nl,,,noreena-jaspis-edelsteenhanger-met-geboord-oogje,ciondolo-in-norina-diaspro-forato
PRODUCT,9828205199703,handle,nl,,,fluwelen-tasje-levensboom,sacchettino-in-velluto-albero-della-vita
PRODUCT,9828205232471,handle,nl,,,pendelmat-bloem-des-levens-multicolour,tappetino-pendolo-fiore-della-vita-multicolore
PRODUCT,9828205265239,handle,nl,,,meditatie-omslagdoek-creme,scialle-da-meditazione-panna-20080cm
PRODUCT,9828205363543,handle,nl,,,masala-wierook-palo-santo,incenso-masala-palo-santo
PRODUCT,9828205527383,handle,nl,,,manifestatiekaars-divine-goddess-in-glas-met-deksel,candela-dintenti-divine-goddess-in-vetro-con-coperchio
PRODUCT,9828205560151,handle,nl,,,sagrada-madre-yagra-wierook-kamille-olibanum,incenso-sagrada-madre-yagra-camomilla-e-olibano
PRODUCT,9828205592919,handle,nl,,,sagrada-madre-botanische-wierook-freesia,incenso-botanico-sagrada-madre-fresia
PRODUCT,9828205658455,handle,nl,,,vloeibare-vlekverwijderaar-sinaasappel,liquido-smacchiatore-arancia
PRODUCT,9828205691223,handle,nl,,,ottoman-argan-spa-shampoo-oriental-rose,ottoman-argan-spa-shampoo-oriental-rose
