Type,Identification,Field,Locale,Market,Status,Default content,Translated content
PRODUCT,9828150083927,handle,nl,,,10-tibetaanse-gebedsvlaggen-koord-boeddha,10-tibetaanse-gebedsvlaggen-koord-boeddha
PRODUCT,9828191633751,handle,nl,,,pendelmat-godin-multicolour,pendelmat-godin-multicolour
PRODUCT,9828203037015,handle,nl,,,najel-dode-zee-zoutwater-bio,najel-dode-zee-zoutwater-bio
PRODUCT,9828203069783,handle,nl,,,natuurlijke-handgemaakte-zeep-mama-mia,natuurlijke-handgemaakte-zeep-mama-mia
PRODUCT,9828203168087,handle,nl,,,waterfontein-engel-l,waterfontein-engel-l
PRODUCT,9828203200855,handle,nl,,,sagrada-madre-wierookkegels-amber-sinaasappel,sagrada-madre-wierookkegels-amber-sinaasappel
PRODUCT,9828203299159,handle,nl,,,sagrada-madre-premium-smudge-bombs-mogelijkheden-openen,sagrada-madre-premium-smudge-bombs-mogelijkheden-openen
PRODUCT,9828203364695,handle,nl,,,meditatie-set-2-lotus-biokatoen-ocs,meditatie-set-2-lotus-biokatoen-ocs
PRODUCT,9828203397463,handle,nl,,,meditatie-set-5-chakra-1-rood,meditatie-set-5-chakra-1-rood
PRODUCT,9828203528535,handle,nl,,,ring-gouden-driehoek-elastisch,ring-gouden-driehoek-elastisch
PRODUCT,9828203561303,handle,nl,,,schaal-roze-zandsteen-dubbel-hart,schaal-roze-zandsteen-dubbel-hart
PRODUCT,9828203594071,handle,nl,,,set-fluweel-beige-goud-met-bloem-des-levens-notitieboek-etui-doos,set-fluweel-beigegoud-met-bloem-des-levens-notitieboek-etui-doos
PRODUCT,9828203692375,handle,nl,,,gondeldoosje-s-roze-maan-en-sterren,geschenkverpakking-s-roze-maan-en-sterren
PRODUCT,9828203725143,handle,nl,,,wierook-moonshine-yoga-aqua-zen,wierook-moonshine-yoga-aqua-zen
PRODUCT,9828203757911,handle,nl,,,meditatiekussen-halve-maan-maanfasen-oudrose-biokatoen-ocs,meditatiekussen-halve-maan-maanfasen-oudrose-biokatoen-ocs
PRODUCT,9828203823447,handle,nl,,,aromafume-kamer-textielspray-bergamot,aromafume-kamer-textielspray-bergamot
PRODUCT,9828203888983,handle,nl,,,geurkaars-vanille-patchoeli,le-chatelard-1802-geurkaars-vanille-patchoeli
PRODUCT,9828203921751,handle,nl,,,armband-tijgeroog-zonnesteen-amethist-elastisch,armband-tijgeroog-zonnesteen-amethist-elastisch
PRODUCT,9828203954519,handle,nl,,,gegraveerde-mineraalschijf-zwarte-toermalijn-lotus,gegraveerde-mineraalschijf-zwarte-toermalijn-lotus
PRODUCT,9828204052823,handle,nl,,,zeezout-en-salie-ayurveda-geurolie,zeezout-en-salie-ayurveda-geurolie
PRODUCT,9828204118359,handle,nl,,,multifunctionele-brander-grijze-zeepsteen,multifunctionele-brander-grijze-zeepsteen
PRODUCT,9828204216663,handle,nl,,,ottoman-hamam-ceremonie-giftbox,ottoman-hamam-ceremonie-giftbox
