Language,Old URL,Old Slug,Reason
EN,/en/2/special-offers.aspx,special-offers,no match
EN,/en/2/bestsellers.aspx,bestsellers,no match
EN,/en/2/offers-of-the-month.aspx,offers-of-the-month,no match
EN,/en/2/welcome-to-our-website.aspx,welcome-to-our-website,no match
EN,/en/2/thank-you-for-registering.aspx,thank-you-for-registering,no match
EN,/en/2/testpen.aspx,testpen,no match
EN,/en/2/404en.aspx,404en,no match
EN,/en/2/covid-19-service-updates-dpd.aspx,covid-19-service-updates-dpd,no match
EN,/en/2/en-vacatures.aspx,en-vacatures,no match
EN,/en/2/en-certificaten.aspx,en-certificaten,no match
EN,/en/2/candles-wholesaler.aspx,candles-wholesaler,no match
EN,/en/2/bulk-wholesale-candles-supplier.aspx,bulk-wholesale-candles-supplier,no match
EN,/en/2/en-witte-kaarsen-groothandel.aspx,en-witte-kaarsen-groothandel,no match
EN,/en/1/product-range.aspx,product-range,no match
FR,/fr/2/confirmation--la-livraison.aspx,confirmation--la-livraison,no match
FR,/fr/2/gadget-davis-de-rapprovisionnement.aspx,gadget-davis-de-rapprovisionnement,no match
FR,/fr/2/informations-sur-la-socit.aspx,informations-sur-la-socit,no match
FR,/fr/2/newsletter.aspx,newsletter,no match
FR,/fr/2/service-client%C3%A8le.aspx,service-client%C3%A8le,no match
FR,/fr/2/qui-sommes-nous.aspx,qui-sommes-nous,no match
FR,/fr/2/foire-aux-questions-faq.aspx,foire-aux-questions-faq,no match
FR,/fr/2/offres-spciales.aspx,offres-spciales,no match
FR,/fr/2/les-plus-vendus.aspx,les-plus-vendus,no match
FR,/fr/2/offres-mensuelles.aspx,offres-mensuelles,no match
FR,/fr/2/annonce.aspx,annonce,no match
FR,/fr/2/bienvenue-sur-notre-site-internet.aspx,bienvenue-sur-notre-site-internet,no match
FR,/fr/2/notification-de-stock-et-web-api.aspx,notification-de-stock-et-web-api,no match
FR,/fr/2/merci-pour-votre-inscription.aspx,merci-pour-votre-inscription,no match
FR,/fr/2/testfr.aspx,testfr,no match
FR,/en/2/404fr.aspx,404fr,no match
FR,/fr/2/mise--jour-dpd-service-mise--jour-corona-virus.aspx,mise--jour-dpd-service-mise--jour-corona-virus,no match
FR,/fr/2/grossiste-new-age.aspx,grossiste-new-age,no match
FR,/fr/2/fr-vacatures.aspx,fr-vacatures,no match
FR,/fr/2/fr-bedrijfsvideo.aspx,fr-bedrijfsvideo,no match
FR,/fr/2/fr-certificaten.aspx,fr-certificaten,no match
FR,/fr/2/vente-en-gros-de-bougies.aspx,vente-en-gros-de-bougies,no match
FR,/fr/2/fournisseur-grossiste-de-bougies-en-vrac.aspx,fournisseur-grossiste-de-bougies-en-vrac,no match
FR,/fr/2/fr-witte-kaarsen-groothandel.aspx,fr-witte-kaarsen-groothandel,no match
FR,/fr/2/fr-spirituele-kaarsen.aspx,fr-spirituele-kaarsen,no match
FR,/fr/1/nos-produits.aspx,nos-produits,no match
FR,/fr/1/se-connecter.aspx,se-connecter,no match
FR,/fr/1/newsletter.aspx,newsletter,no match
FR,/fr/1/service-clientle.aspx,service-clientle,no match
ES,/es/2/reclamaciones.aspx,reclamaciones,no match
ES,/es/2/advertencia-para-reposicin.aspx,advertencia-para-reposicin,no match
ES,/es/2/informacin-de-la-compaa.aspx,informacin-de-la-compaa,no match
ES,/es/2/boletn-informativo.aspx,boletn-informativo,no match
ES,/es/2/preguntas-frecuentes-faq.aspx,preguntas-frecuentes-faq,no match
ES,/es/2/ofertas-especiales.aspx,ofertas-especiales,no match
ES,/es/2/los-ms-vendidos.aspx,los-ms-vendidos,no match
ES,/es/2/ofertas-del-mes.aspx,ofertas-del-mes,no match
ES,/es/2/aviso.aspx,aviso,no match
ES,/es/2/bienvenidos-a-nuestro-sitio-web.aspx,bienvenidos-a-nuestro-sitio-web,no match
ES,/es/2/notificacin-de-stock-y-web-api.aspx,notificacin-de-stock-y-web-api,no match
ES,/es/2/gracias-por-su-registro.aspx,gracias-por-su-registro,no match
ES,/es/2/testes.aspx,testes,no match
ES,/es/2/dpd-actualizacin-del-servicio-debido-a-corona-virus.aspx,dpd-actualizacin-del-servicio-debido-a-corona-virus,no match
ES,/en/2/404es.aspx,404es,no match
ES,/es/2/new-age-al-por-mayor.aspx,new-age-al-por-mayor,no match
ES,/es/2/es-vacatures.aspx,es-vacatures,no match
ES,/es/2/es-bedrijfsvideo.aspx,es-bedrijfsvideo,no match
ES,/es/2/es-certificaten.aspx,es-certificaten,no match
ES,/es/2/venta-al-por-mayor-de-velas.aspx,venta-al-por-mayor-de-velas,no match
ES,/es/2/proveedor-de-velas-al-por-mayor.aspx,proveedor-de-velas-al-por-mayor,no match
ES,/es/2/es-witte-kaarsen-groothandel.aspx,es-witte-kaarsen-groothandel,no match
ES,/es/2/es-spirituele-kaarsen.aspx,es-spirituele-kaarsen,no match
ES,/es/1/catlogo.aspx,catlogo,no match
ES,/es/1/inicia-sesin.aspx,inicia-sesin,no match
ES,/es/1/boletn.aspx,boletn,no match
ES,/es/1/atencin-al-cliente.aspx,atencin-al-cliente,no match
IT,/it/2/reclami.aspx,reclami,no match
IT,/it/2/avviso-riassortimento.aspx,avviso-riassortimento,no match
IT,/it/2/informazioni-aziendaz.aspx,informazioni-aziendaz,no match
IT,/it/2/newsletter.aspx,newsletter,no match
IT,/it/2/servizio-clienti.aspx,servizio-clienti,no match
IT,/it/2/domande-frequenti-faq.aspx,domande-frequenti-faq,no match
IT,/it/2/offerte-speciali.aspx,offerte-speciali,no match
IT,/it/2/i-pi-venduti.aspx,i-pi-venduti,no match
IT,/it/2/offerte-del-mese.aspx,offerte-del-mese,no match
IT,/it/2/avviso.aspx,avviso,no match
IT,/it/2/benvenuti-sul-nostro-sito.aspx,benvenuti-sul-nostro-sito,no match
IT,/it/2/notifica-stock-e-web-api.aspx,notifica-stock-e-web-api,no match
IT,/it/2/grazie-per-aver-effettuato-la-registrazione.aspx,grazie-per-aver-effettuato-la-registrazione,no match
IT,/it/2/testit.aspx,testit,no match
IT,/en/2/404it.aspx,404it,no match
IT,/it/2/aggiornamento-dpd-aggiornamento-del-servizio-in-emergenza-corona-virus.aspx,aggiornamento-dpd-aggiornamento-del-servizio-in-emergenza-corona-virus,no match
IT,/it/2/new-age-allingrosso.aspx,new-age-allingrosso,no match
IT,/it/2/it-vacatures.aspx,it-vacatures,no match
IT,/it/2/it-bedrijfsvideo.aspx,it-bedrijfsvideo,no match
IT,/it/2/it-certificaten.aspx,it-certificaten,no match
