lang,src_url,tgt_url,shopify_url,match_pass,src_handle_similarity,note
es,/bolsa-agua-caliente-yuyu-rayas-naranja-ninosescato.html.aspx,/es/3/tejidos/bolsos.aspx,/collections/bolsas,fuzzy,0.20,src slug and chosen handle are dissimilar
nl,/nl/3/biologische-producten/biologische-lippenbalsem.aspx,/nl/3/lichaamsverzorging/gezichtsverzorging.aspx,/collections/gezichtsverzorging,exact,0.24,src slug and chosen handle are dissimilar
en,/en/3/meditation/meditation-support-cushions.aspx,/en/3/meditation/meditation-shawls-and-accessories.aspx,/collections/meditation-shawls-and-accessories,exact,0.50,src slug and chosen handle are dissimilar
nl,/nl/3/yoga/yoga-kleding-bali-spirit.aspx,/nl/3/yoga/alle-yogakleding.aspx,/collections/yoga,parent,0.29,src slug and chosen handle are dissimilar
de,/de/3/yoga/yogakleidung-bali-spirit.aspx,/de/3/yoga/alle-yogakleidung.aspx,/collections/yoga-produkte,parent,0.38,src slug and chosen handle are dissimilar
es,/es/3/yoga/ropa-de-yoga-bali-spirit.aspx,/es/3/yoga/todas-la-ropas-de-yoga.aspx,/collections/articulos-de-yoga,parent,0.49,src slug and chosen handle are dissimilar
fr,/fr/3/yoga/vtements-de-yoga-bali-spirit.aspx,/fr/3/yoga/tous-les-vtements-de-yoga.aspx,/collections/accessoires-de-yoga,parent,0.47,src slug and chosen handle are dissimilar
it,/it/3/yoga/abbigliamento-yoga-bali-spirit.aspx,/it/3/yoga/tutto-per-labbigliamento-yoga.aspx,/collections/prodotti-yoga,parent,0.28,src slug and chosen handle are dissimilar
it,/it/3/articoli-per-una-vita-sana/holy-lama-gocce-di-spezie.aspx,/it/3/articoli-per-una-vita-sana.aspx,/collections/articoli-per-una-vita-sana,exact,0.31,src slug and chosen handle are dissimilar
fr,/fr/3/produits-pour-une-vie-saine/holy-lama-gouttes-dpice.aspx,/fr/3/produits-pour-une-vie-saine.aspx,/collections/produits-pour-une-vie-saine,exact,0.32,src slug and chosen handle are dissimilar
es,/es/3/productos-para-una-vida-sana/holy-lama-gotas-de-especias.aspx,/es/3/productos-para-una-vida-sana.aspx,/collections/productos-para-una-vida-sana,exact,0.29,src slug and chosen handle are dissimilar
en,/en/3/healthy-lifestyle/holy-lama-spice-drops.aspx,/en/3/healthy-lifestyle.aspx,/collections/healthy-lifestyle,exact,0.37,src slug and chosen handle are dissimilar
de,/de/3/gesunde-lebensweise/holy-lama-spice-drops.aspx,/de/3/gesunde-lebensweise.aspx,/collections/gesunde-lebensweise,exact,0.25,src slug and chosen handle are dissimilar
nl,/nl/3/gezonde-leefstijl/holy-lama-spice-drops.aspx,/nl/3/gezonde-leefstijl.aspx,/collections/gezonde-leefstijl,exact,0.26,src slug and chosen handle are dissimilar
