lang,src_url,existing_target
nl,/nl/3/textiel/alle-yogakleding.aspx,/collections/alle-yogakleding
de,/de/3/textilien/alle-yogakleidung.aspx,/collections/alle-yogakleidung
en,/en/3/textiles/all-yoga-clothing.aspx,/collections/all-yoga-clothing
es,/es/3/textiles/todas-la-ropas-de-yoga.aspx,/collections/todas-la-ropas-de-yoga
fr,/fr/3/textiles/tous-les-vtements-de-yoga.aspx,/collections/tous-les-vêtements-de-yoga
it,/it/3/tessuti/tutto-per-labbigliamento-yoga.aspx,/collections/tutto-per-labbigliamento-yoga
nl,/nl/3/biologische-producten/biologische-meditatiekussens.aspx,/collections/biologische-meditatiekussens
de,/de/3/biologische-produkte/biologische-mediatationskissen.aspx,/collections/biologische-mediatationskissen
en,/en/3/organic-products/organic-meditation-cushions.aspx,/collections/organic-meditation-cushions
es,/es/3/productos-orgnicos/cojines-de-meditacin-orgnicos.aspx,/collections/cojines-de-meditacion-organicos
fr,/fr/3/produits-biologiques/coussins-de-mditation-biologiques.aspx,/collections/coussins-de-meditation-biologiques
it,/it/3/prodotti-organici/cuscini-meditazione-organici.aspx,/collections/cuscini-meditazione-organici
nl,/nl/3/meditatie/malas-en-mala-tasjes.aspx,/collections/malas-en-mala-tasjes
de,/de/3/meditation/malas-und-malatschchen.aspx,/collections/malas-und-malataschchen
en,/en/3/meditation/malas-and-mala-bags.aspx,/collections/malas-and-mala-bags
es,/es/3/meditacin/mala-bolsas-para-mala.aspx,/collections/mala-bolsas-para-mala
fr,/fr/3/mditation/malas-et-sacs-malas.aspx,/collections/malas-et-sacs-a-malas
it,/it/3/meditazione/mala-e-sacchetti-porta-mala.aspx,/collections/mala-e-sacchetti-porta-mala
nl,/nl/3/yoga/yoga-meditatiekussens.aspx,/collections/yoga-meditatiekussens
de,/de/3/yoga/yoga-meditationskissen.aspx,/collections/yoga-meditationskissen
en,/en/3/yoga/yoga-meditation-cushions.aspx,/collections/yoga-meditation-cushions
es,/es/3/yoga/yoga-cojines-de-meditacin.aspx,/collections/yoga-cojines-de-meditacion
fr,/fr/3/yoga/coussins-de-yoga-mditation.aspx,/collections/coussins-de-yoga-meditation
it,/it/3/yoga/yoga-cuscini-da-meditazione.aspx,/collections/yoga-cuscini-da-meditazione
es,/es/3/yoga/incienso-yoga-premium.aspx,/collections/incienso-yoga-premium
fr,/fr/3/yoga/yoga-premium-encens.aspx,/collections/yoga-premium-encens
it,/it/3/yoga/incenso-yoga-premium.aspx,/collections/incenso-yoga-premium
fr,/fr/3/maison-dco/planet-pure-produits-de-nettoyage-bio.aspx,/collections/planet-pure-produits-de-nettoyage
nl,/nl/3/home-living/raamstickers.aspx,/collections/raamstickers
de,/de/3/home-living/fensterklebebilder.aspx,/collections/fensterklebebilder
en,/en/3/home-living/window-stickers.aspx,/collections/window-stickers
es,/es/3/hogar-y-decoracin/pegatinas-para-cristales.aspx,/collections/pegatinas-para-cristales
fr,/fr/3/maison-dco/autocollants-pour-fentre.aspx,/collections/autocollants-pour-fenêtre
it,/it/3/home-living/adesivi-per-vetri.aspx,/collections/adesivi-per-vetri
es,/es/3/minerales-y-gemas/palos-con-minerales-vitalizadores-de-agua.aspx,/collections/palos-con-minerales-vitalizadores-de-agua
nl,/nl/3/sieraden/armbanden-edelsteen.aspx,/collections/armbanden-edelsteen
en,/en/3/jewellery/bracelets-gemstone.aspx,/collections/bracelets-gemstone
de,/de/3/schmuck/armbnder-edelstein.aspx,/collections/armbander-edelstein
fr,/fr/3/bijoux/bracelets-de-pierres-gemmes.aspx,/collections/bracelets-de-pierres-gemmes
it,/it/3/gioielli/braccialetti-in-minerali.aspx,/collections/braccialetti-in-minerali
es,/es/3/joyas/pulseras-de-gemas.aspx,/collections/pulseras-de-gemas
