sku,en_slug,nl_slug
21174,himalayan-salt-stone-heart-200-250g,himalaya-zoutsteen-hart-200-250g
21175,himalayan-salt-stone-round-200-250g,himalaya-zoutsteen-rond-200-250g
21176,himalayan-salt-stone-rectangle-200-250g,himalaya-zoutsteen-rechthoek-200-250g
2290905,ear-candles-vegan-45g,oorkaarsen-vegan-45g
904035,olanat-face-cream-with-donkey-milk-bio-50ml,olanat-gezichtscrme-met-ezelinnenmelk-bio-50ml
904036,olanat-face-cleanser-foam-with-organic-donkey-milk--100ml,olanat-gezichtsreiniging-ezelinnenmelk-bio-100ml
22256,short-bbe-holy-lama-ayurvedic-massage-oil-everfresh-100-ml,korte-tht-holy-lama-ayurvedische-massage-olie-everfresh-100-ml
22257,short-bbe-holy-lama-ayurvedic-massage-oil-bliss-100-ml,korte-tht-holy-lama-ayurvedische-massage-olie-bliss-100-ml
22258,short-bbe-holy-lama-ayurvedic-massage-oil-enhance-100-ml,korte-tht-holy-lama-ayurvedische-massage-olie-enhance-100-ml
22259,short-bbe-holy-lama-ayurvedic-massage-coconut-oil-200-ml,korte-tht-holy-lama-ayurvedische-massage-kokosolie-200-ml
64841,carnatia-magic-within-you-soy-wax-candle-believe-in-miracles-80-g,carnatia-magic-within-you-sojawaskaars-believe-in-miracles-80-g
64842,carnatia-magic-within-you-soy-wax-candle-chase-your-dreams-80-g,carnatia-magic-within-you-sojawaskaars-chase-your-dreams-80-g
64843,carnatia-magic-within-you-soy-wax-candle-embrace-harmony-80-g,carnatia-magic-within-you-sojawaskaars-embrace-harmony-80-g
64844,carnatia-magic-within-you-soy-wax-candle-find-your-centre-80-g,carnatia-magic-within-you-sojawaskaars-find-your-centre-80-g
64845,carnatia-magic-within-you-soy-wax-candle-rise-renew-flourish-80-g,carnatia-magic-within-you-sojawaskaars-rise-renew-flourish-80-g
64846,carnatia-magic-within-you-soy-wax-candle-seek-your-truth-80-g,carnatia-magic-within-you-sojawaskaars-seek-your-truth-80-g
64878,scented-soy-candle-muladhara-chakra-pine-cedarwood-130g,soja-geurkaars-muladhara-chakra-den-cederhout-130g
64879,scented-soy-candle-svadhisthana-chakra-orange-blossom-sandal-130g,soja-geurkaars-svadhisthana-chakra-oranjebloesem-sandelhout-130g
64880,scented-soy-candle-manipura-chakra-green-tea-lemongrass-130g,soja-geurkaars-manipura-chakra-groene-thee-citroengras-130g
64881,scented-soy-candle-anahata-chakra-jasmin-saffron-130g,soja-geurkaars-anahata-chakra-jasmijn-saffraan-130g
